score,total_mape,grid_year_mape,grade_total_mape,grade_year_mape,total_mae,grid_year_mae,grade_total_mae,grade_year_mae,runs,seed,turnover,first_child,second_child,third_child,student_exit,early_birth,later_birth,tk8_exit,high_exit,special_exit,same_school_year,tkk_weight,elementary_weight,middle_weight,high_weight,special_weight
0.10380661608425856,0.030144489229740258,0.21812960587535854,0.029701829013002643,0.10227469628052954,186.61249999999995,104.72616319444444,185.1125000000003,46.438392857142865,20,1633340,0.05,0.75,0.5,0.2,0,0.055,0,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.10383718618731552,0.02922474369511457,0.2235607611188752,0.02792711437716511,0.10071522171001221,174.25000000000034,109.63177083333332,166.75000000000034,45.391517857142865,20,944387,0.045,0.7,0.55,0.2,0,0.055,0.005,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.10394626871648219,0.030783597774681516,0.2185221775335659,0.030339938741476044,0.1020135077547291,194.26250000000016,105.36852430555555,192.7625000000004,46.15937499999999,20,1665016,0.05,0.75,0.55,0.15,0,0.055,0,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.10397544133091723,0.031410293728885916,0.22321935786603894,0.03011831370805086,0.09981696327808733,185.3499999999998,102.52303819444447,177.85000000000014,44.93660714285715,20,1474960,0.05,0.7,0.55,0.15,0,0.055,0,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.10409429685238886,0.02866818059349614,0.2292664156696451,0.02736863260093186,0.099281119080822,171.85000000000036,108.55381944444444,164.3499999999999,44.85223214285714,20,936468,0.045,0.7,0.55,0.2,0,0.055,0,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.10424845448022005,0.030071034102889083,0.22350337115243732,0.02962617364813279,0.10105294003773173,186.97500000000002,104.82187499999999,185.47500000000014,45.17098214285714,20,1672935,0.05,0.75,0.55,0.15,0,0.055,0.005,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.10449067592265612,0.028048538503370184,0.22881387298206218,0.026751211776076346,0.10062667955046524,166.25625000000036,110.3840798611111,158.7562499999998,45.16160714285716,20,1094848,0.045,0.75,0.55,0.15,0,0.055,0,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.10451650837315136,0.035452252530778425,0.21465305393936238,0.03413175692860191,0.10190044365209072,217.17499999999995,107.34038194444445,209.42500000000007,46.01026785714285,20,1467041,0.05,0.7,0.55,0.15,0,0.04,0.005,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.10461217244724352,0.027883111710807193,0.22353497309647175,0.026557289746148367,0.10308048862941403,165.18124999999998,112.78414930555554,157.4312500000001,46.55848214285715,20,1086929,0.045,0.75,0.55,0.15,0,0.04,0.005,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.10461915692907119,0.03487003516854391,0.2128256661512274,0.03354881706744141,0.10318602629652507,213.42499999999973,107.44006944444445,205.67500000000018,46.74642857142857,20,1593745,0.05,0.75,0.5,0.15,0,0.04,0.005,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
