score,total_mape,grid_year_mape,grade_total_mape,grade_year_mape,total_mae,grid_year_mae,grade_total_mae,grade_year_mae,runs,seed,turnover,first_child,second_child,third_child,student_exit,annual_first_birth,annual_second_birth,annual_third_birth,annual_fourth_plus_birth,tk8_exit,high_exit,special_exit,same_school_year,tkk_weight,elementary_weight,middle_weight,high_weight,special_weight
0.10458796430233382,0.027915693562872563,0.22760369271506647,0.027471058670247895,0.1013850353809175,171.62500000000023,105.427,170.1250000000001,45.76053571428571,50,461328,0.05,0.7,0.55,0.2,0,0.1,0.035,0.008,0,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.10464202586735841,0.029689344059036827,0.22393949266893115,0.029246001897323584,0.10189464823172226,184.30250000000035,104.18329861111111,182.80250000000024,46.09553571428572,50,485085,0.05,0.7,0.55,0.2,0,0.1,0.045,0.004,0.0012,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.10477701759572892,0.028705991927972685,0.22396523976002927,0.027408922013594687,0.10274434413066252,169.96749999999997,108.58615972222222,162.46749999999986,46.522678571428564,50,97054,0.045,0.7,0.55,0.2,0,0.1,0.045,0.004,0,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.10500519081310555,0.028426367288866217,0.23059726892948917,0.02712773501664561,0.1007156536810957,169.6300000000001,107.76209027777776,162.12999999999977,45.34142857142857,50,112892,0.045,0.7,0.55,0.2,0,0.1,0.045,0.008,0,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.1051084826245817,0.02838039257315367,0.23074952488171513,0.02793621210013815,0.10088891975258513,175.52750000000026,104.44277777777778,174.02750000000026,45.379464285714285,50,469247,0.05,0.7,0.55,0.2,0,0.1,0.035,0.008,0.0012,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.1052619957081169,0.025127069460271684,0.23414221341912572,0.024684131790427635,0.10179086437242049,152.4375000000001,115.04497916666666,150.93750000000045,46.245535714285715,50,192082,0.045,0.75,0.55,0.2,0,0.08,0.035,0.004,0,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.10528686984638452,0.028129177861461213,0.228589168794005,0.026833819454765845,0.1022605654582903,164.84750000000008,111.0355138888889,157.3475000000003,46.31642857142856,50,49540,0.045,0.7,0.55,0.2,0,0.08,0.045,0.008,0,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.10544755614661688,0.02692409411044271,0.23021470515918233,0.025628039275097533,0.10265477376329521,156.3375000000002,111.42409027777776,148.83749999999986,46.32839285714285,50,9945,0.045,0.7,0.55,0.2,0,0.08,0.035,0.004,0.0012,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.1056157558541728,0.028003052390967894,0.23453950806027507,0.026705012112477736,0.1006138770496548,165.82749999999965,108.78375694444445,158.32749999999976,45.38482142857142,50,120811,0.045,0.7,0.55,0.2,0,0.1,0.045,0.008,0.0012,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.10567508188513168,0.02953930598087728,0.2296503983769757,0.028239522668306198,0.10176642083094671,177.99250000000018,107.54172916666668,170.4925000000004,46.080000000000005,50,136649,0.045,0.7,0.55,0.2,0,0.12,0.035,0.004,0.0012,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
